Año,Mes,Día,HR,CEL
2030,1,28,21,10979.5353
2030,1,28,22,10329.77762
2030,1,28,23,9403.062763
2030,1,28,24,8179.7461
2030,1,29,1,7171.020926
2030,1,29,2,6627.188521
2030,1,29,3,6318.120437
2030,1,29,4,6298.055034
2030,1,29,5,6467.439682
2030,1,29,6,6978.906031
2030,1,29,7,7980.724398
2030,1,29,8,8533.054161
2030,1,29,9,8814.935175
2030,1,29,10,9159.633972
2030,1,29,11,9334.927232
2030,1,29,12,9441.267303
2030,1,29,13,9432.229814
2030,1,29,14,9303.748866
2030,1,29,15,9288.490923
2030,1,29,16,9321.289681
2030,1,29,17,9373.19593
2030,1,29,18,9568.112939
2030,1,29,19,9918.387614
2030,1,29,20,10919.27791
2030,1,29,21,10829.96687
2030,1,29,22,10269.80522
2030,1,29,23,9243.685451
2030,1,29,24,8035.174632
2030,1,30,1,7101.266494
2030,1,30,2,6594.406176
2030,1,30,3,6357.685747
2030,1,30,4,6277.349531
2030,1,30,5,6411.209404
2030,1,30,6,6883.883336
2030,1,30,7,7890.980659
2030,1,30,8,8322.052601
2030,1,30,9,8532.640856
2030,1,30,10,8948.987526
2030,1,30,11,9163.723745
2030,1,30,12,9284.341467
2030,1,30,13,9265.968075
2030,1,30,14,9150.423403
2030,1,30,15,9121.183241
2030,1,30,16,9239.155516
2030,1,30,17,9322.581816
2030,1,30,18,9232.65306
2030,1,30,19,9711.259477
2030,1,30,20,10600.01449
2030,1,30,21,10636.32559
2030,1,30,22,10089.61647
2030,1,30,23,9286.573609
2030,1,30,24,8080.311345
2030,1,31,1,7081.132456
2030,1,31,2,6546.9284
2030,1,31,3,6358.10502
2030,1,31,4,6215.065911
2030,1,31,5,6374.747606
2030,1,31,6,6819.904721
2030,1,31,7,7549.407756
2030,1,31,8,8045.781782
2030,1,31,9,8507.856025
2030,1,31,10,8974.125979
2030,1,31,11,9164.175844
2030,1,31,12,9300.061952
2030,1,31,13,9357.602271
2030,1,31,14,9321.219553
2030,1,31,15,9208.582932
2030,1,31,16,9183.968197
2030,1,31,17,9230.553713
2030,1,31,18,9199.473824
2030,1,31,19,9674.779774
2030,1,31,20,10454.22251
2030,1,31,21,10380.44544
2030,1,31,22,9826.804149
2030,1,31,23,9159.357939
2030,1,31,24,8239.53945
2030,2,1,1,7212.013151
2030,2,1,2,6609.11702
2030,2,1,3,6338.648875
2030,2,1,4,6210.208212
2030,2,1,5,6189.454963
2030,2,1,6,6358.336783
2030,2,1,7,6764.362781
2030,2,1,8,7072.938481
2030,2,1,9,7536.31232
2030,2,1,10,7986.6902
2030,2,1,11,8214.774508
2030,2,1,12,8311.480261
2030,2,1,13,8415.250982
2030,2,1,14,8224.282
2030,2,1,15,8085.605714
2030,2,1,16,7951.3206
2030,2,1,17,7927.70257
2030,2,1,18,7974.78047
2030,2,1,19,8561.865098
2030,2,1,20,9544.496893
2030,2,1,21,9470.302051
2030,2,1,22,9179.983362
2030,2,1,23,8465.41449
2030,2,1,24,7693.799175
2030,2,2,1,6737.535301
2030,2,2,2,6114.816976
2030,2,2,3,5821.728998
2030,2,2,4,5619.426226
2030,2,2,5,5583.971578
2030,2,2,6,5622.946027
2030,2,2,7,5794.814978
2030,2,2,8,5900.838729
2030,2,2,9,6227.65055
2030,2,2,10,6584.323236
2030,2,2,11,6848.727595
2030,2,2,12,6971.016439
2030,2,2,13,6956.726852
2030,2,2,14,6930.770743
2030,2,2,15,6903.227068
2030,2,2,16,6894.061261
2030,2,2,17,6849.733253
2030,2,2,18,6991.272828
2030,2,2,19,7645.469426
2030,2,2,20,8733.196903
2030,2,2,21,8842.200325
2030,2,2,22,8576.530688
2030,2,2,23,7918.976925
2030,2,2,24,7117.048647
2030,2,3,1,6176.635069
2030,2,3,2,5609.733717
2030,2,3,3,5311.99793
2030,2,3,4,5216.317378
2030,2,3,5,5245.687204
2030,2,3,6,5324.762618
2030,2,3,7,5464.059607
2030,2,3,8,5671.784574
2030,2,3,9,6054.90426
2030,2,3,10,6616.787769
2030,2,3,11,6990.525299
2030,2,3,12,7190.401959
2030,2,3,13,7316.931276
2030,2,3,14,7317.596741
2030,2,3,15,7269.498262
2030,2,3,16,7254.567084
2030,2,3,17,7317.638519
2030,2,3,18,7384.893727
2030,2,3,19,8182.970963
2030,2,3,20,9417.891481
2030,2,3,21,9616.957946
2030,2,3,22,9049.033032
2030,2,3,23,8197.763379
2030,2,3,24,6975.243483
2030,2,4,1,6039.60454
2030,2,4,2,5582.413853
2030,2,4,3,5320.980212
2030,2,4,4,5259.341168
2030,2,4,5,5429.601664
2030,2,4,6,6048.70768
2030,2,4,7,7241.083217
2030,2,4,8,7945.790976
2030,2,4,9,8244.248926
2030,2,4,10,8742.862554
2030,2,4,11,8985.634833
2030,2,4,12,9249.18871
2030,2,4,13,9171.488988
2030,2,4,14,9026.744439
2030,2,4,15,9097.767133
2030,2,4,16,9146.316217
2030,2,4,17,9247.32511
2030,2,4,18,9361.416503
2030,2,4,19,9758.582569
2030,2,4,20,10846.66218
2030,2,4,21,10834.6674
2030,2,4,22,10291.25128
2030,2,4,23,9293.309321
2030,2,4,24,8111.255947
2030,2,5,1,7098.885637
2030,2,5,2,6632.08003
2030,2,5,3,6372.241415
2030,2,5,4,6293.843403
2030,2,5,5,6376.313284
2030,2,5,6,6923.907206
2030,2,5,7,7848.028834
2030,2,5,8,8418.102334
2030,2,5,9,8630.90035
2030,2,5,10,8919.538966
2030,2,5,11,9175.816001
2030,2,5,12,9423.422597
2030,2,5,13,9412.518525
2030,2,5,14,9309.626635
2030,2,5,15,9268.675189
2030,2,5,16,9443.898321
2030,2,5,17,9427.227384
2030,2,5,18,9529.356825
2030,2,5,19,10070.74671
2030,2,5,20,11005.6605
2030,2,5,21,11038.03402
2030,2,5,22,10312.89828
2030,2,5,23,9305.289178
2030,2,5,24,8161.629837
2030,2,6,1,7125.871277
2030,2,6,2,6664.353577
2030,2,6,3,6405.947353
2030,2,6,4,6350.187078
2030,2,6,5,6470.457147
2030,2,6,6,6982.384546
2030,2,6,7,7963.492934
2030,2,6,8,8475.623256
2030,2,6,9,8758.281641
2030,2,6,10,9011.225384
2030,2,6,11,9239.385788
2030,2,6,12,9456.136307
2030,2,6,13,9450.279918
2030,2,6,14,9323.775967
2030,2,6,15,9323.100058
2030,2,6,16,9462.194125
2030,2,6,17,9452.911936
2030,2,6,18,9582.682036
2030,2,6,19,10133.76741
2030,2,6,20,11030.26628
2030,2,6,21,10955.71633
2030,2,6,22,10372.63642
2030,2,6,23,9398.812339
2030,2,6,24,8257.646253
2030,2,7,1,7701.557957
2030,2,7,2,6735.171857
2030,2,7,3,6472.848941
2030,2,7,4,6429.496748
2030,2,7,5,6464.282947
2030,2,7,6,7001.908327
2030,2,7,7,8033.102635
2030,2,7,8,8465.802429
2030,2,7,9,8665.692518
2030,2,7,10,9117.643043
2030,2,7,11,9330.165026
2030,2,7,12,9467.18511
2030,2,7,13,9484.246969
2030,2,7,14,9375.480787
2030,2,7,15,9350.666114
2030,2,7,16,9379.833165
2030,2,7,17,9462.686509
2030,2,7,18,9518.027511
2030,2,7,19,10004.00029
2030,2,7,20,10649.83084
2030,2,7,21,10508.47777
2030,2,7,22,10033.83878
2030,2,7,23,9248.515785
2030,2,7,24,8327.693131
2030,2,8,1,7341.563916
2030,2,8,2,6695.185782
2030,2,8,3,6480.876295
2030,2,8,4,6373.888664
2030,2,8,5,6352.668397
2030,2,8,6,6461.856836
2030,2,8,7,6908.74774
2030,2,8,8,7268.153904
2030,2,8,9,7715.425287
2030,2,8,10,8208.616721
2030,2,8,11,8490.002367
2030,2,8,12,8615.367866
2030,2,8,13,8684.882074
2030,2,8,14,8574.001623
