Ano,Tecnologia,Entidad Federativa,Region,Nodo,Estado,Capacidad Bruta (MW),Inversion
2024,Solar fotovoltaica,DGO,05-Norte,11-Laguna,En construccion,10,597.1
2024,Solar fotovoltaica,DGO,05-Norte,11-Laguna,Por iniciar obras,30,1791.3
2024,Solar fotovoltaica,DGO,05-Norte,11-Laguna,En construccion,22.52,1344.6692
2024,Solar fotovoltaica,DGO,05-Norte,11-Laguna,En construccion,8.3,495.593
2024,Solar fotovoltaica,DGO,05-Norte,11-Laguna,En construccion,21.38,1276.5998
2024,Solar fotovoltaica,COAH,05-Norte,11-Laguna,En construccion,7.8,465.738
2025,Eolica,HGO,01-Central,31-Central,Por iniciar obras,30,1023.6
2025,Eolica,QRO,03-Occidental,30-Queretaro,Por iniciar obras,30,1023.6
2025,Eolica,GTO,03-Occidental,30-Queretaro,Por iniciar obras,30,1023.6
2025,Eolica,COAH,06-Noreste,12-Ro Escondido,Proyecto Nuevo,30.290676,794.9530775
2025,Eolica,COAH,06-Noreste,17-Saltillo,Proyecto Nuevo,11.939918,313.353012
2025,Eolica,GTO,03-Occidental,30-Queretaro,Por iniciar obras,30,1023.6
2025,Eolica,OAX,02-Oriental,40-Ixtepec,Por iniciar obras,150,5158.944
2025,Eolica,JAL,03-Occidental,24-Aguascalientes,Por iniciar obras,76,2593.12
2025,Eolica,JAL,03-Occidental,24-Aguascalientes,En construccion,64,2183.68
2025,Eolica,GTO,03-Occidental,30-Queretaro,Por iniciar obras,63,2149.56
2025,Eolica,OAX,02-Oriental,40-Ixtepec,En construccion,70,2388.4
2025,Eolica,GTO,03-Occidental,24-Aguascalientes,En construccion,40,1364.8
2025,Eolica,JAL,03-Occidental,24-Aguascalientes,Por iniciar obras,40,1364.8
2025,Eolica,OAX,02-Oriental,40-Ixtepec,Proyecto Nuevo,150,5158.944
2025,Eolica,OAX,02-Oriental,40-Ixtepec,Proyecto Nuevo,150,5158.944
2025,Eolica,OAX,02-Oriental,40-Ixtepec,Por iniciar obras,2,68.24
2025,Eolica,OAX,02-Oriental,40-Ixtepec,Por iniciar obras,300,10317.888
2025,Eolica,ZAC,03-Occidental,24-Aguascalientes,Por iniciar obras,82.5,2814.9
2025,Eolica,GTO,03-Occidental,24-Aguascalientes,Por iniciar obras,24,818.88
2025,Eolica,QRO,03-Occidental,30-Queretaro,Por iniciar obras,30,1023.6
2025,Eolica,OAX,02-Oriental,40-Ixtepec,Por iniciar obras,10,343.9296
2025,Eolica,OAX,02-Oriental,40-Ixtepec,Proyecto Nuevo,200,6878.592
2025,Eolica,OAX,02-Oriental,40-Ixtepec,En construccion,15,511.8
2025,Geotermica,JAL,03-Occidental,23-Guadalajara,Proyecto Nuevo,1.00000008,26.53054772
2025,Geotermica,JAL,03-Occidental,23-Guadalajara,Por iniciar obras,25,511.8
2025,Solar fotovoltaica,SON,04-Noroeste,01-Hermosillo,Por iniciar obras,30,1791.3
2025,Solar fotovoltaica,SON,04-Noroeste,01-Hermosillo,Por iniciar obras,50,2985.5
2025,Solar fotovoltaica,SON,04-Noroeste,01-Hermosillo,Por iniciar obras,30,1791.3
2025,Solar fotovoltaica,SON,04-Noroeste,01-Hermosillo,Por iniciar obras,30,1791.3
2025,Solar fotovoltaica,SON,04-Noroeste,01-Hermosillo,En construccion,30,1791.3
2025,Solar Fotovoltaica,SON,04-Noroeste,01-Hermosillo,Proyecto Nuevo,30,918.935826
2025,Solar fotovoltaica,SON,04-Noroeste,01-Hermosillo,Proyecto Nuevo,6.279,192.3332684
2025,Solar fotovoltaica,SON,04-Noroeste,01-Hermosillo,Proyecto Nuevo,30,918.935826
2025,Solar Fotovoltaica,SON,04-Noroeste,01-Hermosillo,Proyecto Nuevo,30,918.935826
2025,Solar fotovoltaica,SON,04-Noroeste,01-Hermosillo,En construccion,30,1791.3
2025,Solar fotovoltaica,SON,04-Noroeste,01-Hermosillo,En construccion,30,1791.3
2025,Solar fotovoltaica,SON,04-Noroeste,01-Hermosillo,Por iniciar obras,125,7463.75
2025,Solar fotovoltaica,CHIH,05-Norte,08-Moctezuma,Por iniciar obras,37.63069604,2246.928861
2025,Solar fotovoltaica,DGO,05-Norte,11-Laguna,En construccion,13.96,833.5516
2025,Solar fotovoltaica,SON,04-Noroeste,01-Hermosillo,Por iniciar obras,95.37298,5694.720636
2025,Solar fotovoltaica,SON,04-Noroeste,01-Hermosillo,En construccion,30,1791.3
2025,Solar fotovoltaica,SON,04-Noroeste,01-Hermosillo,Por iniciar obras,24.7,1474.837
2025,Solar fotovoltaica,DGO,05-Norte,11-Laguna,Por iniciar obras,30,1791.3
2025,Solar fotovoltaica,COAH,05-Norte,11-Laguna,Por iniciar obras,30,1791.3
2025,Solar fotovoltaica,SON,04-Noroeste,01-Hermosillo,Por iniciar obras,30,1791.3
2025,Solar fotovoltaica,SON,04-Noroeste,01-Hermosillo,En construccion,30,1791.3
2025,Solar fotovoltaica,COAH,05-Norte,11-Laguna,En construccion,30,1791.3
2025,Solar fotovoltaica,COAH,05-Norte,11-Laguna,En construccion,22.2,1325.562
2026,Eolica,COAH,06-Noreste,12-Ro Escondido,Proyecto Nuevo,150,3936.622663
2026,Eolica,COAH,06-Noreste,12-Ro Escondido,Proyecto Nuevo,87.933502,2307.740112
2026,Eolica,COAH,06-Noreste,17-Saltillo,Proyecto Nuevo,200,5248.830217
2026,Eolica,COAH,06-Noreste,17-Saltillo,Proyecto Nuevo,188.060082,4935.477206
2026,Eolica,COAH,06-Noreste,17-Saltillo,Proyecto Nuevo,162.406944,4262.232376
2026,Eolica,COAH,06-Noreste,12-Ro Escondido,En construccion,200,6824
2026,Eolica,COAH,06-Noreste,17-Saltillo,Por iniciar obras,50,1706
2026,Eolica,CHIH,05-Norte,09-Chihuahua,Por iniciar obras,30,1023.6
2026,Eolica,COAH,06-Noreste,12-Ro Escondido,Por iniciar obras,200,6824
2026,Eolica,COAH,06-Noreste,17-Saltillo,Por iniciar obras,50,1706
2026,Geotermica,JAL,03-Occidental,23-Guadalajara,Proyecto Nuevo,43.70000016,1159.384847
2026,Geotermica,JAL,03-Occidental,23-Guadalajara,Proyecto Nuevo,11.30000004,299.7951663
2026,Hidroelectrica,VER,02-Oriental,37-Coatzacoalcos,Proyecto Nuevo,281.03,5440.084599
2026,Solar fotovoltaica,SON,04-Noroeste,01-Hermosillo,Por iniciar obras,100,5971
2026,Solar fotovoltaica,SON,04-Noroeste,01-Hermosillo,Por iniciar obras,40,2388.4
2026,Solar fotovoltaica,CHIH,05-Norte,08-Moctezuma,Por iniciar obras,30,1791.3
2026,Solar fotovoltaica,SON,04-Noroeste,01-Hermosillo,Por iniciar obras,19,1134.49
2026,Solar Fotovoltaica,DGO,05-Norte,10-Durango,Proyecto Nuevo,55.780824,1708.633253
2026,Solar Fotovoltaica,SON,04-Noroeste,01-Hermosillo,Proyecto Nuevo,82.302225,2521.015437
2026,Solar Fotovoltaica,SON,04-Noroeste,01-Hermosillo,Proyecto Nuevo,100,3063.11942
2026,Solar fotovoltaica,SON,04-Noroeste,01-Hermosillo,En construccion,29.55,1764.4305
2026,Solar fotovoltaica,CHIH,05-Norte,08-Moctezuma,Por iniciar obras,30,1791.3
2026,Solar fotovoltaica,CHIH,05-Norte,08-Moctezuma,Por iniciar obras,128.369304,7664.931139
2026,Solar fotovoltaica,CHIH,05-Norte,08-Moctezuma,Por iniciar obras,23.7506262,1418.14989
2026,Solar fotovoltaica,CHIH,05-Norte,08-Moctezuma,En construccion,15.2,907.592
2026,Solar fotovoltaica,SON,04-Noroeste,01-Hermosillo,Por iniciar obras,4.62702,276.2793642
2026,Solar fotovoltaica,SON,04-Noroeste,01-Hermosillo,Por iniciar obras,26,1552.46
2026,Solar fotovoltaica,SON,04-Noroeste,01-Hermosillo,Proyecto Nuevo,40,1605.6872
2026,Solar fotovoltaica,CHIH,05-Norte,08-Moctezuma,En construccion,15.2,907.592
2026,Solar fotovoltaica,SON,04-Noroeste,01-Hermosillo,En construccion,20,1194.2
2026,Solar fotovoltaica,CHIH,05-Norte,08-Moctezuma,Por iniciar obras,35,1404.9763
2026,Solar fotovoltaica,SON,04-Noroeste,01-Hermosillo,Por iniciar obras,29.34000008,1776.3725
