central/proyect,type,technology,fuel,fuel_code,load_area,balancing_area,intalation_year
bio_pappel,operational,turbogas,natural_gas,zzon_nort,05-norte,10-durango,
bioenergia_de_nuevo_leon,operational,bioenergy,natural_gas,g_ahnrr,06-noreste,16-monterrey,
bsm_energia_de_veracruz,operational,bioenergy,diesel,d_naciona,02-oriental,36-temascal,
cartones_ponderosa,operational,internal_combustion,fuel_oil,c_n_vrey,03-occidental,30-queretaro,
ce_g_sanborns,operational,co_gen,natural_gas,g_central,01-central,31-central,
celulosa_de_fibras_mexicanas,operational,combined_cycle,natural_gas,g_slorp,02-oriental,34-puebla,
cobielec,operational,internal_combustion,natural_gas,g_slorp,02-oriental,34-puebla,
cogcoracion_de_energia_limpia_de_cosoleacaque,operational,co_gen,natural_gas,gn_tuxp,02-oriental,37-coatzacoalcos,
compania_cervecera_de_coahuila,operational,termoelectric,fuel_oil,c_n_coah,06-noreste,12-rio_escondido,
tamazulapan,operational,hydroelectric,,,02-oriental,36-temascal,
compania_eolica_de_tamaulipas,operational,eolic,,,06-noreste,21-guemez,
cooperativa_la_cruz_azul,operational,bioenergy,natural_gas,g_sauzqro,03-occidental,24-aguascalientes,
coppel,operational,solar,,,04-noroeste,01-hermosillo,
csi_en_saltillo,operational,turbogas,natural_gas,g_ahnrr,06-noreste,17-saltillo,
deacero_power,operational,combined_cycle,natural_gas,g_ahnrr,06-noreste,17-saltillo,
desarrollos_eolicos_mexicanos_de_oaxaca_1,operational,eolic,,,02-oriental,40-ixtepec,
desarrolloseolicosmexicanos2_piedralarga,operational,eolic,,,02-oriental,40-ixtepec,
destileria_del_golfo,operational,bioenergy,diesel,d_naciona,02-oriental,33-veracruz,
dominica_energia_limpia,operational,eolic,,,03-occidental,25-san_luis_potosi,
draexlmaier_components_automotive_de_mexico,operational,internal_combustion,diesel,d_naciona,03-occidental,25-san_luis_potosi,
el_palacio_de_hierro_guadalajara,operational,internal_combustion,diesel,d_naciona,03-occidental,23-guadalajara,
