name_switch,name_prodesen,load_zone,load_area,capacity_factor
comedero,comedero,04-noroeste,05-culiacan,11.827595833333335
comedero,comedero,04-noroeste,05-culiacan,3.7988833333333334
comedero,comedero,04-noroeste,05-culiacan,13.763338888888887
comedero,comedero,04-noroeste,05-culiacan,0.0
comedero,comedero,04-noroeste,05-culiacan,0.0
comedero,comedero,04-noroeste,05-culiacan,0.0
comedero,comedero,04-noroeste,05-culiacan,0.0
comedero,comedero,04-noroeste,05-culiacan,0.0
comedero,comedero,04-noroeste,05-culiacan,17.43074027777778
comedero,comedero,04-noroeste,05-culiacan,29.585748611111107
comedero,comedero,04-noroeste,05-culiacan,5.4060138888888885
comedero,comedero,04-noroeste,05-culiacan,0.0070097222222222219
comedero,comedero,04-noroeste,05-culiacan,0.15207083333333332
comedero,comedero,04-noroeste,05-culiacan,9.564298611111111
comedero,comedero,04-noroeste,05-culiacan,28.719759722222221
comedero,comedero,04-noroeste,05-culiacan,15.252986111111111
comedero,comedero,04-noroeste,05-culiacan,0.0
comedero,comedero,04-noroeste,05-culiacan,0.0
comedero,comedero,04-noroeste,05-culiacan,0.0
comedero,comedero,04-noroeste,05-culiacan,0.0
comedero,comedero,04-noroeste,05-culiacan,47.96895416666667
comedero,comedero,04-noroeste,05-culiacan,62.527618055555557
comedero,comedero,04-noroeste,05-culiacan,65.495501388888883
comedero,comedero,04-noroeste,05-culiacan,62.52428888888889
comedero,comedero,04-noroeste,05-culiacan,38.583619444444444
comedero,comedero,04-noroeste,05-culiacan,13.887509722222221
comedero,comedero,04-noroeste,05-culiacan,6.3972986111111112
comedero,comedero,04-noroeste,05-culiacan,0.00071805555555555555
comedero,comedero,04-noroeste,05-culiacan,79.258129166666663
comedero,comedero,04-noroeste,05-culiacan,66.356404166666664
comedero,comedero,04-noroeste,05-culiacan,99.220851388888875
comedero,comedero,04-noroeste,05-culiacan,39.977104166666663
cupatitzio,cupatitzio,03-occidental,28-carapan,57.075644097222231
cupatitzio,cupatitzio,03-occidental,28-carapan,46.308767361111109
cupatitzio,cupatitzio,03-occidental,28-carapan,26.128694444444445
cupatitzio,cupatitzio,03-occidental,28-carapan,24.682675347222226
cupatitzio,cupatitzio,03-occidental,28-carapan,51.304045138888888
cupatitzio,cupatitzio,03-occidental,28-carapan,54.75754687500001
cupatitzio,cupatitzio,03-occidental,28-carapan,68.122060763888896
cupatitzio,cupatitzio,03-occidental,28-carapan,64.415326388888886
cupatitzio,cupatitzio,03-occidental,28-carapan,54.585746527777779
cupatitzio,cupatitzio,03-occidental,28-carapan,69.347536458333337
cupatitzio,cupatitzio,03-occidental,28-carapan,65.295937500000008
cupatitzio,cupatitzio,03-occidental,28-carapan,71.960680555555555
cupatitzio,cupatitzio,03-occidental,28-carapan,47.347862847222224
cupatitzio,cupatitzio,03-occidental,28-carapan,44.17890972222223
cupatitzio,cupatitzio,03-occidental,28-carapan,46.975755208333332
cupatitzio,cupatitzio,03-occidental,28-carapan,44.440104166666664
