GENERATIONS_PROJECT	gen_tech	gen_load_zone	gen_connect_cost_per_mw	gen_full_load_heat_rate	proj_variable_o_m	gen_capacity_limit_mw	gen_energy_source	gen_variable_om	gen_min_build_capacity	gen_scheduled_outage_rate	gen_forced_outage_rate	gen_max_age	gen_unit_size	proj_ccs_capture_efficiency	proj_ccs_energy_load	gen_storage_efficiency	proj_store_to_release_ratio	gen_is_variable	gen_is_baseload	gen_is_cogen
ce_aut_39	wind	15-matamoros	99048.565	.	0	.	wind	0	0	0	0	25	.	.	.	.	.	1	0	0
ce_aut_40	wind	21-guemez	99048.565	.	0	.	wind	0	0	0	0	25	.	.	.	.	.	1	0	0
ce_aut_41	wind	21-guemez	99048.565	.	0	.	wind	0	0	0	0	25	.	.	.	.	.	1	0	0
ce_aut_44	wind	40-ixtepec	99048.565	.	0	.	wind	0	0	0	0	25	.	.	.	.	.	1	0	0
ce_aut_45	wind	15-matamoros	99048.565	.	0	.	wind	0	0	0	0	25	.	.	.	.	.	1	0	0
ce_aut_46	wind	15-matamoros	99048.565	.	0	.	wind	0	0	0	0	25	.	.	.	.	.	1	0	0
ce_aut_47	wind	15-matamoros	99048.565	.	0	.	wind	0	0	0	0	25	.	.	.	.	.	1	0	0
ce_aut_48	wind	15-matamoros	99048.565	.	0	.	wind	0	0	0	0	25	.	.	.	.	.	1	0	0
ce_aut_49	wind	21-guemez	99048.565	.	0	.	wind	0	0	0	0	25	.	.	.	.	.	1	0	0
ce_aut_53	wind	15-matamoros	99048.565	.	0	.	wind	0	0	0	0	25	.	.	.	.	.	1	0	0
ce_aut_54	wind	21-guemez	99048.565	.	0	.	wind	0	0	0	0	25	.	.	.	.	.	1	0	0
ce_aut_55	wind	21-guemez	99048.565	.	0	.	wind	0	0	0	0	25	.	.	.	.	.	1	0	0
ce_aut_56	wind	21-guemez	99048.565	.	0	.	wind	0	0	0	0	25	.	.	.	.	.	1	0	0
ce_aut_58	wind	40-ixtepec	99048.565	.	0	.	wind	0	0	0	0	25	.	.	.	.	.	1	0	0
ce_aut_61	wind	40-ixtepec	99048.565	.	0	.	wind	0	0	0	0	25	.	.	.	.	.	1	0	0
ce_aut_71	wind	39-grijalva	99048.565	.	0	.	wind	0	0	0	0	25	.	.	.	.	.	1	0	0
ce_aut_72	wind	24-aguascalientes	99048.565	.	0	.	wind	0	0	0	0	25	.	.	.	.	.	1	0	0
ce_aut_73	wind	17-saltillo	99048.565	.	0	.	wind	0	0	0	0	25	.	.	.	.	.	1	0	0
ce_aut_74	wind	40-ixtepec	99048.565	.	0	.	wind	0	0	0	0	25	.	.	.	.	.	1	0	0
ce_aut_75	wind	15-matamoros	99048.565	.	0	.	wind	0	0	0	0	25	.	.	.	.	.	1	0	0
ce_cfe_02	wind	40-ixtepec	99048.565	.	0	.	wind	0	0	0	0	25	.	.	.	.	.	1	0	0
ce_cfe_03	wind	40-ixtepec	99048.565	.	0	.	wind	0	0	0	0	25	.	.	.	.	.	1	0	0
ce_g_sanborns	cogen_natural_gas	31-central	99048.565	9.073887868	3.08	.	natural_gas	3.08	0	0.1123	0.1123	30	.	.	.	.	.	0	1	1
ce_gen_01	wind	24-aguascalientes	99048.565	.	0	.	wind	0	0	0	0	25	.	.	.	.	.	1	0	0
ce_gen_02	wind	32-poza_rica	99048.565	.	0	.	wind	0	0	0	0	25	.	.	.	.	.	1	0	0
ce_otr_01	wind	25-san_luis_potosi	99048.565	.	0	.	wind	0	0	0	0	25	.	.	.	.	.	1	0	0
ce_otr_02	wind	18-valles	99048.565	.	0	.	wind	0	0	0	0	25	.	.	.	.	.	1	0	0
ce_otr_05	wind	18-valles	99048.565	.	0	.	wind	0	0	0	0	25	.	.	.	.	.	1	0	0
ce_otr_06	wind	24-aguascalientes	99048.565	.	0	.	wind	0	0	0	0	25	.	.	.	.	.	1	0	0
ce_otr_07	wind	40-ixtepec	99048.565	.	0	.	wind	0	0	0	0	25	.	.	.	.	.	1	0	0
ce_otr_08	wind	25-san_luis_potosi	99048.565	.	0	.	wind	0	0	0	0	25	.	.	.	.	.	1	0	0
